,Age.ct,Bonus,Density,GroupOne,Insurancescore,Gender_Male,constant
29,41,16,272.9669948,10,0.148785674133146,False,1.0
31,25,10,190.0515645,3,0.295464062207912,True,1.0
41,29,9,225.0430894,17,0.255107486686078,False,1.0
45,47,8,129.4194752,17,0.110061937796945,True,1.0
46,47,5,290.1327193,11,0.149420404238455,False,1.0
57,35,18,88.89623143,16,0.115925450017803,False,1.0
61,46,1,249.7835716,7,0.157009493093001,False,1.0
64,29,21,28.61559614,17,0.111314335409903,True,1.0
70,69,1,205.4307964,9,0.0411966213296955,True,1.0
71,43,18,259.0040603,16,0.147762441331702,True,1.0
72,61,14,284.9991194,13,0.0463815568472044,False,1.0
76,20,5,25.83086908,8,0.301306227252156,True,1.0
93,50,3,144.998902,6,0.0826313110355323,False,1.0
107,25,6,51.09148195,16,0.144436816690162,True,1.0
129,25,15,72.01288299,18,0.159246654432505,True,1.0
145,20,9,39.55041059,11,0.210817021804113,True,1.0
152,42,21,169.5291484,11,0.140901750546747,False,1.0
162,21,6,58.89468755,5,0.235733165640005,False,1.0
166,33,9,109.6318854,12,0.117863346571638,False,1.0
167,26,10,47.98269849,13,0.234503650732381,False,1.0
174,20,14,77.73738533,7,0.307374147251924,False,1.0
194,29,4,272.9669948,3,0.191438243201078,False,1.0
199,31,2,251.432848,3,0.265384454366509,True,1.0
214,35,18,144.998902,7,0.115095623373826,True,1.0
219,27,9,166.5549379,11,0.220247246166853,True,1.0
221,65,3,223.3085718,9,0.126390976040227,False,1.0
225,25,8,107.8170529,9,0.267186787707481,False,1.0
227,24,11,32.9239514,13,0.190599135425854,True,1.0
241,21,8,102.818883,11,0.349653102225319,True,1.0
248,29,1,32.2125563,9,0.0882366281152211,False,1.0
250,22,5,285.6217445,14,0.407582327525918,True,1.0
254,21,4,112.4047945,18,0.322537611017064,False,1.0
271,18,6,297.3851697,8,0.276700524120436,True,1.0
288,34,11,31.49128874,6,0.0785471571547269,True,1.0
320,41,21,62.06252553,5,0.0697576327469473,True,1.0
326,48,15,76.50537468,6,0.0628217395596158,True,1.0
329,21,3,66.94554904,9,0.176198764143014,True,1.0
358,27,12,169.5291484,7,0.190358582545188,True,1.0
360,47,2,270.7883545,18,0.11408795461926,False,1.0
371,51,8,45.66982293,19,0.0547132480545676,True,1.0
373,38,12,57.7002938,8,0.0904039588074887,True,1.0
376,45,9,51.09148195,18,0.0702753716489712,True,1.0
381,23,17,223.3475567,14,0.305436056988264,True,1.0
384,35,12,33.96774033,10,0.0821887108571281,False,1.0
387,23,8,31.98800317,9,0.178725137139911,True,1.0
391,35,21,27.01981982,9,0.0627021973240816,True,1.0
397,22,8,121.5870219,7,0.257892335134292,True,1.0
409,22,9,171.3729361,12,0.228283828595833,True,1.0
411,28,4,68.97630254,6,0.144783844905468,True,1.0
