,s,eta_consumer,C0-P0_estimated_cost,C0-P0_risk_group,C0-P0_price,C0-P0_coverage,C0-P0_ce_outside,ce_no_insurance,C0-P0_welfare,C0-PA_estimated_cost,C0-PA_risk_group,C0-PA_price,C0-PA_coverage,C0-PA_ce_outside,C0-PA_welfare,C0-POB_estimated_cost,C0-POB_risk_group,C0-POB_price,C0-POB_coverage,C0-POB_ce_outside,C0-POB_welfare,C0-PDP_estimated_cost,C0-PDP_risk_group,C0-PDP_price,C0-PDP_coverage,C0-PDP_ce_outside,C0-PDP_welfare,C0-PAF_estimated_cost,C0-PAF_risk_group,C0-PAF_price,C0-PAF_coverage,C0-PAF_ce_outside,C0-PAF_welfare
29,1,220.26515732002568,311.7952,1,476.21002,0.7644365,-38700.277,-38480.023,-38665.44,303.06677,1,438.1001,0.8966693,-38700.277,-38625.242,294.72256,1,458.74457,0.8358865,-38700.277,-38647.594,305.26608,1,500.24252,0.63560337,-38700.277,-38686.594,303.58542,1,478.42755,0.7539662,-38700.277,-38667.594
31,0,177.6941049315191,449.08963,0,581.5704,0.7089593,-34754.64,-34576.97,-34730.316,435.74316,0,581.78973,0.7077867,-34754.64,-34730.508,419.25995,0,577.83374,0.7285267,-34754.64,-34726.926,444.41974,0,566.00867,0.7848011,-34754.64,-34715.5,450.19962,0,541.60345,0.8728456,-34754.64,-34689.81
41,1,185.43103919024594,266.11813,1,417.21094,0.7439011,-31509.309,-31323.9,-31478.635,263.54935,1,668.67865,0.0042414325,-31509.309,-31510.201,273.0989,1,438.0669,0.62885827,-31509.309,-31496.492,266.83148,1,445.10153,0.5855127,-31509.309,-31501.492,264.4983,1,420.8958,0.7253625,-31509.309,-31482.07
45,0,251.87291166094525,128.03308,2,322.31827,0.7995038,-48846.22,-48594.348,-48803.168,124.81499,2,380.3771,0.47298586,-48846.22,-48848.21,119.137856,2,290.8413,0.8994286,-48846.22,-48769.473,121.85812,2,308.2422,0.8512388,-48846.22,-48788.4,133.14401,2,318.87692,0.8132882,-48846.22,-48799.625
46,1,242.8119668122349,115.82938,2,309.24957,0.79884416,-39852.633,-39609.824,-39809.797,115.50987,2,283.08325,0.88609105,-39852.633,-39781.93,114.022316,2,285.94955,0.8784362,-39852.633,-39785.066,121.67257,2,334.71774,0.6735529,-39852.633,-39833.67,119.464386,2,316.6893,0.7663662,-39852.633,-39817.24
57,1,210.3044879449352,323.29715,1,494.31985,0.7738874,-35780.19,-35569.902,-35743.395,334.9594,1,422.11948,0.95670176,-35780.19,-35665.633,337.99347,1,500.1225,0.74652445,-35780.19,-35749.03,313.403,1,516.82446,0.6566024,-35780.19,-35763.75,320.92508,1,497.74854,0.7579685,-35780.19,-35746.754
61,1,240.95071235424115,56.0281,3,252.69176,0.80188185,-39701.914,-39460.965,-39658.258,56.935917,3,194.62338,0.9472157,-39701.914,-39595.35,61.36918,3,235.59987,0.862556,-39701.914,-39640.21,56.842575,3,276.72208,0.685942,-39701.914,-39681.055,58.395733,3,259.0002,0.7748976,-39701.914,-39664.617
64,0,196.50811538072787,536.364,0,704.4844,0.7709683,-38863.324,-38666.836,-38827.316,535.0319,0,594.8553,0.9830014,-38863.324,-38709.633,546.7283,0,699.72565,0.79211265,-38863.324,-38822.547,532.7493,0,690.03204,0.83051866,-38863.324,-38812.523,525.11536,0,652.1946,0.9289934,-38863.324,-38771.34
70,0,360.8738366224421,27.164053,3,317.4801,0.8661421,-37284.105,-36923.24,-37221.29,27.144663,3,159.09398,0.9973552,-37284.105,-37053.81,29.19264,3,204.83098,0.9915107,-37284.105,-37100.5,25.659014,3,305.1466,0.89885086,-37284.105,-37207.83,23.968092,3,313.3885,0.87787914,-37284.105,-37216.844
71,0,228.52884500123096,876.327,0,1036.3438,0.7601291,-48716.457,-48487.95,-48682.82,890.5511,0,809.87164,0.9991255,-48716.457,-48445.97,850.9328,0,990.6219,0.91248554,-48716.457,-48634.355,872.8317,0,1019.7803,0.82996595,-48716.457,-48665.97,858.3603,0,944.7574,0.9717491,-48716.457,-48584.445
72,1,310.2735859857104,147.80508,2,391.6371,0.8409291,-36133.324,-35823.07,-36079.066,139.74039,2,292.60962,0.98543954,-36133.324,-35972.15,141.00316,2,311.75006,0.97639763,-36133.324,-35992.32,151.5537,2,414.0698,0.74776983,-36133.324,-36101.844,142.91957,2,397.2283,0.82068515,-36133.324,-36084.957
76,0,176.77379710664715,243.60483,1,389.46094,0.73391944,-37533.227,-37356.46,-37504.344,237.8868,1,481.4631,0.20438237,-37533.227,-37543.99,242.33311,1,408.64703,0.6271934,-37533.227,-37520.574,241.90736,1,375.2702,0.7990468,-37533.227,-37490.44,242.94624,1,387.35995,0.7443732,-37533.227,-37502.367
93,1,263.94946775893663,23.131065,3,233.8984,0.8150519,-39761.535,-39497.586,-39714.44,26.264774,3,126.30744,0.9857889,-39761.535,-39598.52,24.502747,3,200.34625,0.9124163,-39761.535,-39678.203,23.637957,3,257.13144,0.70826966,-39761.535,-39737.07,29.08974,3,240.73041,0.7871547,-39761.535,-39721.434
107,0,185.5386427357188,164.64026,2,309.24222,0.731246,-34486.883,-34301.35,-34458.453,167.1346,2,332.8439,0.59712464,-34486.883,-34477.76,166.68576,2,336.30908,0.57546896,-34486.883,-34480.086,165.79912,2,295.8214,0.7935188,-34486.883,-34445.383,158.83897,2,303.0178,0.76155627,-34486.883,-34452.53
129,0,184.35759334107664,403.94046,0,561.3633,0.75493807,-34743.504,-34559.168,-34710.758,421.7619,0,617.1978,0.41990063,-34743.504,-34748.73,420.53607,0,579.054,0.6607137,-34743.504,-34726.53,432.91055,0,554.7353,0.785305,-34743.504,-34704.234,406.07523,0,523.52563,0.891423,-34743.504,-34671.11
145,0,175.99930518021384,402.32904,0,556.21216,0.7489375,-37702.824,-37526.848,-37671.22,412.32086,0,421.88394,0.98968506,-37702.824,-37528.117,396.12064,0,555.7067,0.75139636,-37702.824,-37670.734,407.39597,0,543.6402,0.8051111,-37702.824,-37658.72,406.90573,0,518.9719,0.88661057,-37702.824,-37632.387
152,1,229.8039841941487,390.94632,0,569.66406,0.78379446,-39137.203,-38907.418,-39098.22,403.29492,0,500.46902,0.95592946,-39137.203,-39023.52,396.3152,0,555.89276,0.8380781,-39137.203,-39083.992,396.92032,0,596.06854,0.6466461,-39137.203,-39122.12,396.37125,0,611.34314,0.551957,-39137.203,-39132.76
162,1,176.77276252506817,73.53635,3,214.29205,0.723307,-31586.418,-31409.65,-31559.365,71.795586,3,250.6772,0.5065446,-31586.418,-31585.902,81.827446,3,255.16313,0.4777333,-31586.418,-31588.074,71.80053,3,489.7063,0.0021469297,-31586.418,-31586.928,70.70788,3,219.99933,0.69303674,-31586.418,-31564.453
